id,name,url,region_id,role_id,subrole_id,salary_from,salary_to,salary_currency,salary_gross,salary_mode_id,salary_frequency_id,schedule_id
128509972,Менеджер отдела продаж,https://api.hh.ru/vacancies/128509972?host=hh.ru,1255,21,70,,45000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128160393,Администратор студии растяжки,https://api.hh.ru/vacancies/128160393?host=hh.ru,1255,21,70,55000.0,80000.0,RUR,False,MONTH,TWICE_PER_MONTH,shift
128465214,Менеджер по работе с клиентами,https://api.hh.ru/vacancies/128465214?host=hh.ru,1255,21,70,60000.0,80000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127897612,Менеджер по продажам автомобилей,https://api.hh.ru/vacancies/127897612?host=hh.ru,1255,21,70,180000.0,250000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128564237,Менеджер по работе с клиентами \ Лид менеджер,https://api.hh.ru/vacancies/128564237?host=hh.ru,1255,21,70,60000.0,,RUR,False,MONTH,TWICE_PER_MONTH,remote
128353124,Менеджер по продажам спецтехники,https://api.hh.ru/vacancies/128353124?host=hh.ru,1255,21,70,150000.0,,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128410501,Менеджер по работе с клиентами с личным авто,https://api.hh.ru/vacancies/128410501?host=hh.ru,1255,21,70,60000.0,150000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128235578,Менеджер по продажам (без поиска клиентов),https://api.hh.ru/vacancies/128235578?host=hh.ru,1255,21,70,80000.0,,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127931302,Начинающий специалист в компанию Web Cube,https://api.hh.ru/vacancies/127931302?host=hh.ru,1255,21,70,95000.0,148000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128508636,Менеджер по продажам,https://api.hh.ru/vacancies/128508636?host=hh.ru,1255,21,70,70000.0,150000.0,RUR,True,MONTH,,fullDay
128154726,Менеджер по продажам,https://api.hh.ru/vacancies/128154726?host=hh.ru,1255,21,70,70000.0,150000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128407095,Менеджер проектов медицинских решений,https://api.hh.ru/vacancies/128407095?host=hh.ru,1255,21,70,70000.0,180000.0,RUR,True,MONTH,,fullDay
128522058,Специалист по продажам в сфере искусства,https://api.hh.ru/vacancies/128522058?host=hh.ru,1255,21,70,50000.0,,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128004239,Администратор студии растяжки,https://api.hh.ru/vacancies/128004239?host=hh.ru,1255,21,70,,70000.0,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128521079,Менеджер,https://api.hh.ru/vacancies/128521079?host=hh.ru,1255,21,70,71400.0,,RUR,True,MONTH,,fullDay
128519719,Менеджер по продажам,https://api.hh.ru/vacancies/128519719?host=hh.ru,1255,21,70,90000.0,,RUR,False,MONTH,TWICE_PER_MONTH,remote
128294235,Менеджер по расчету заказов,https://api.hh.ru/vacancies/128294235?host=hh.ru,1255,21,70,61000.0,74000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128235564,Торговый представитель,https://api.hh.ru/vacancies/128235564?host=hh.ru,1255,21,70,80000.0,120000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127175607,Вдохновитель в Арт-школу,https://api.hh.ru/vacancies/127175607?host=hh.ru,1255,21,70,50000.0,,RUR,False,MONTH,,fullDay
127435927,Оператор колл-центра,https://api.hh.ru/vacancies/127435927?host=hh.ru,1255,21,70,45000.0,70000.0,RUR,True,MONTH,TWICE_PER_MONTH,shift
128303772,Стажер в отдел продаж,https://api.hh.ru/vacancies/128303772?host=hh.ru,1255,21,70,60000.0,,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128327300,Менеджер по работе с клиентами (визово-туристическое направление),https://api.hh.ru/vacancies/128327300?host=hh.ru,1255,21,70,70000.0,120000.0,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
